epoch,train_acc_rel,train_acc_norel,test_acc_rel,test_acc_norel
1,52.8453625081646,53.532209340300454,65.5241935483871,58.82056451612903
2,68.0315153494448,57.13075604180274,66.73387096774194,60.63508064516129
3,69.60115937295885,57.76555355976486,71.875,60.23185483870968
4,70.10940561724364,59.34438275636839,71.82459677419355,62.80241935483871
5,70.32576747224037,60.62724526453299,73.1350806451613,63.76008064516129
6,70.42782495101241,61.84683213585892,72.47983870967742,64.41532258064517
7,70.71460646636186,62.22138308295232,71.72379032258064,63.457661290322584
8,71.16365937295885,62.369366427171784,73.68951612903226,64.91935483870968
9,71.72905780535598,62.90210646636186,73.89112903225806,63.810483870967744
10,72.53429131286741,63.04600751143044,74.29435483870968,64.41532258064517
11,73.06396962769432,63.25726649248857,74.09274193548387,65.625
12,73.45893207054213,63.43892880470281,75.20161290322581,65.07056451612904
13,73.791639451339,63.62569399085565,75.1008064516129,63.55846774193548
14,74.11209993468321,63.64712606139778,75.1008064516129,64.71774193548387
15,74.29376224689746,63.81654147615937,74.94959677419355,65.3225806451613
16,74.5009389288047,64.1125081645983,74.79838709677419,64.76814516129032
17,74.68260124101894,64.25538863487917,74.8991935483871,64.96975806451613
18,74.78363814500327,64.58911659046375,75.60483870967742,65.77620967741936
19,74.96121815806663,64.89324787720444,73.7399193548387,64.61693548387096
20,75.20003265839321,65.54743631613324,74.59677419354838,65.625
